Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
How to effectively use topic models for software engineering tasks? An approach based on Genetic Algorithms,A. Panichella; B. Dit; R. Oliveto; M. Di Penta; D. Poshynanyk; A. De Lucia,"University of Salerno, Fisciano (SA), Italy",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,522,531,"Information Retrieval (IR) methods, and in particular topic models, have recently been used to support essential software engineering (SE) tasks, by enabling software textual retrieval and analysis. In all these approaches, topic models have been used on software artifacts in a similar manner as they were used on natural language documents (e.g., using the same settings and parameters) because the underlying assumption was that source code and natural language documents are similar. However, applying topic models on software data using the same settings as for natural language text did not always produce the expected results. Recent research investigated this assumption and showed that source code is much more repetitive and predictable as compared to the natural language text. Our paper builds on this new fundamental finding and proposes a novel solution to adapt, configure and effectively use a topic modeling technique, namely Latent Dirichlet Allocation (LDA), to achieve better (acceptable) performance across various SE tasks. Our paper introduces a novel solution called LDA-GA, which uses Genetic Algorithms (GA) to determine a near-optimal configuration for LDA in the context of three different SE tasks: (1) traceability link recovery, (2) feature location, and (3) software artifact labeling. The results of our empirical studies demonstrate that LDA-GA is able to identify robust LDA configurations, which lead to a higher accuracy on all the datasets for these SE tasks as compared to previously published results, heuristics, and the results of a combinatorial search.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606598,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606598,Genetic Algoritms;Latent Dirichlet Allocation;Textual Analysis in Software Engineering,Accuracy;Context;Genetic algorithms;Labeling;Natural languages;Software;Software engineering,genetic algorithms;information retrieval;natural language processing;software engineering;text analysis,IR methods;LDA configurations;LDA-GA;SE tasks;feature location;genetic algorithms;information retrieval methods;latent Dirichlet allocation;natural language documents;natural language text;near-optimal configuration;software artifact labeling;software data;software engineering tasks;software textual retrieval and analysis;source code;topic modeling technique;traceability link recovery,,61,,38,,,,18-26 May 2013,,IEEE,IEEE Conferences
Search-based genetic optimization for deployment and reconfiguration of software in the cloud,S. Frey; F. Fittkau; W. Hasselbring,"Software Engineering Group, Kiel University, 24118 Kiel, Germany",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,512,521,"Migrating existing enterprise software to cloud platforms involves the comparison of competing cloud deployment options (CDOs). A CDO comprises a combination of a specific cloud environment, deployment architecture, and runtime reconfiguration rules for dynamic resource scaling. Our simulator CDOSim can evaluate CDOs, e.g., regarding response times and costs. However, the design space to be searched for well-suited solutions is extremely huge. In this paper, we approach this optimization problem with the novel genetic algorithm CDOXplorer. It uses techniques of the search-based software engineering field and CDOSim to assess the fitness of CDOs. An experimental evaluation that employs, among others, the cloud environments Amazon EC2 and Microsoft Windows Azure, shows that CDOXplorer can find solutions that surpass those of other state-of-the-art techniques by up to 60%. Our experiment code and data and an implementation of CDOXplorer are available as open source software.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606597,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606597,Cloud computing;Deployment optimization;Search-based software engineering,Biological cells;Genetic algorithms;Nickel;Optimization;Sociology;Software;Time factors,cloud computing;genetic algorithms;public domain software;software architecture,Amazon EC2;CDOSim simulator;CDOXplorer;Microsoft Windows Azure;cloud deployment options;cloud environment;cloud platforms;deployment architecture;dynamic resource scaling;enterprise software;genetic algorithm;open source software;optimization problem;runtime reconfiguration rules;search-based genetic optimization;search-based software engineering field;software deployment;software reconfiguration,,26,,34,,,,18-26 May 2013,,IEEE,IEEE Conferences
Hercules: Reproducing Crashes in Real-World Application Binaries,V. T. Pham; W. B. Ng; K. Rubinov; A. Roychoudhury,"Sch. of Comput., Nat. Univ. of Singapore, Singapore, Singapore",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,1,,891,901,"Binary analysis is a well-investigated area in software engineering and security. Given real-world program binaries, generating test inputs which cause the binaries to crash is crucial. Generation of crashing inputs has many applications including off-line analysis of software prior to deployment, or online analysis of software patches as they are inserted. In this work, we present a method for generating inputs which reach a given ""potentially crashing"" location. Such potentially crashing locations can be found by a separate static analysis (or by gleaning crash reports submitted by internal / external users) and serve as the input to our method. The test input generated by our method serves as a witness of the crash. Our method is particularly suited for binaries of programs which take in complex structured inputs. Experiments on real-life applications such as the Adobe Reader and the Windows Media Player demonstrate that our Hercules tool built on selective symbolic execution engine S2E can generate crashing inputs within few hours, where symbolic approaches (as embodied by S2E) or blackbox fuzzing approaches (as embodied by the commercial tool PeachFuzzer) failed.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.99,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7194635,binary analysis;symbolic execution;test generation,Ash;Computer crashes;Concrete;Heuristic algorithms;Hybrid power systems;Registers;Search problems,security of data;software tools,Adobe Reader;Hercules tool;S2E;Windows Media Player;binary analysis;crash reproduction;selective symbolic execution engine;software engineering;software off-line analysis;software security,,0,,31,,,,16-24 May 2015,,IEEE,IEEE Conferences
Improving feature location practice with multi-faceted interactive exploration,J. Wang; X. Peng; Z. Xing; W. Zhao,"School of Computer Science, Fudan University, Shanghai, China",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,762,771,"Feature location is a human-oriented and information-intensive process. When performing feature location tasks with existing tools, developers often feel it difficult to formulate an accurate feature query (e.g., keywords) and determine the relevance of returned results. In this paper, we propose a feature location approach that supports multi-faceted interactive program exploration. Our approach automatically extracts and mines multiple syntactic and semantic facets from candidate program elements. Furthermore, it allows developers to interactively group, sort, and filter feature location results in a centralized, multi-faceted, and intelligent search User Interface (UI). We have implemented our approach as a web-based tool MFIE and conducted an experimental study. The results show that the developers using MFIE can accomplish their feature location tasks 32% faster and the quality of their feature location results (in terms of F-measure) is 51% higher than that of the developers using regular Eclipse IDE.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606622,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606622,,Educational institutions;Feature extraction;History;Java;Navigation;Semantics;Syntactics,reverse engineering;software maintenance;user interfaces,Web-based tool MFIE;centralized user interface;feature location;feature query;human-oriented process;information-intensive process;intelligent search user interface;multifaceted interactive exploration;multifaceted user interface;semantic facets;syntactic facets,,16,,30,,,,18-26 May 2013,,IEEE,IEEE Conferences
Angelix: Scalable Multiline Program Patch Synthesis via Symbolic Analysis,S. Mechtaev; J. Yi; A. Roychoudhury,"Sch. of Comput., Nat. Univ. of Singapore, Singapore, Singapore",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,691,701,"Since debugging is a time-consuming activity, automated program repair tools such as GenProg have garnered interest. A recent study revealed that the majority of GenProg repairs avoid bugs simply by deleting functionality. We found that SPR, a state-of-the-art repair tool proposed in 2015, still deletes functionality in their many ""plausible"" repairs. Unlike generate-and-validate systems such as GenProg and SPR, semantic analysis based repair techniques synthesize a repair based on semantic information of the program. While such semantics-based repair methods show promise in terms of quality of generated repairs, their scalability has been a concern so far. In this paper, we present Angelix, a novel semantics-based repair method that scales up to programs of similar size as are handled by search-based repair tools such as GenProg and SPR. This shows that Angelix is more scalable than previously proposed semantics based repair methods such as SemFix and DirectFix. Furthermore, our repair method can repair multiple buggy locations that are dependent on each other. Such repairs are hard to achieve using SPR and GenProg. In our experiments, Angelix generated repairs from large-scale real-world software such as wireshark and php, and these generated repairs include multi-location repairs. We also report our experience in automatically repairing the well-known Heartbleed vulnerability.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884807,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886945,Automated program repair;Semantic analysis,Computer bugs;Maintenance engineering;Scalability;Semantics;Software;Software engineering;Testing,program debugging;program diagnostics,Angelix method;Heartbleed vulnerability;SPR tool;generate-and-validate systems;multilocation repairs;program debugging;program repair tools;scalable multiline program patch synthesis;semantic analysis;semantic information;symbolic analysis,,17,,,,,,14-22 May 2016,,IEEE,IEEE Conferences
TaskNav: Task-Based Navigation of Software Documentation,C. Treude; M. Sicard; M. Klocke; M. Robillard,"Dept. de Inf. e Mat. Aplic., Univ. Fed. do Rio Grande do Norte, Natal, Brazil",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,649,652,"To help developers navigate documentation, we introduce Task Nav, a tool that automatically discovers and indexes task descriptions in software documentation. With Task Nav, we conceptualize tasks as specific programming actions that have been described in the documentation. Task Nav presents these extracted task descriptions along with concepts, code elements, and section headers in an auto-complete search interface. Our preliminary evaluation indicates that search results identified through extracted task descriptions are more helpful to developers than those found through other means, and that they help bridge the gap between documentation structure and the information needs of software developers. Video: https://www.youtube.com/watch?v=opnGYmMGnqY.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.214,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203034,Auto-Complete;Development Tasks;Natural Language Processing;Navigation;Software Documentation,Documentation;Electronic mail;Instruction sets;Interference;Navigation;Software engineering,document handling;information retrieval;software engineering,TaskNav;auto-complete search interface;code elements;documentation structure;extracted task descriptions;programming actions;section headers;software developers;software documentation;task descriptions;task-based navigation,,3,,16,,,,16-24 May 2015,,IEEE,IEEE Conferences
The Impact of Test Case Summaries on Bug Fixing Performance: An Empirical Investigation,S. Panichella; A. Panichella; M. Beller; A. Zaidman; H. C. Gall,"Univ. of Zurich, Zurich, Switzerland",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,547,558,"Automated test generation tools have been widely investigated with the goal of reducing the cost of testing activities. However, generated tests have been shownnot to help developers in detecting and finding more bugs even though they reach higher structural coverage compared to manual testing. The main reason is that generated tests are difficult to understand and maintain. Our paper proposes an approach, coined TestDescriber, which automatically generates test case summaries of the portion of code exercised by each individual test, thereby improving understandability. We argue that this approach can complement the current techniques around automated unit test generation or search-based techniques designed to generate a possibly minimal set of test cases. In evaluating our approach we found that (1) developers find twice as many bugs, and (2) test case summaries significantly improve the comprehensibility of test cases, which is considered particularly useful by developers.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884847,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886933,Empirical Study;Software testing;Test Case Summarization,Computer bugs;Java;Natural languages;Pragmatics;Software;Software engineering;Testing,program debugging;program testing,TestDescriber approach;automated test generation tools;automated unit test generation;bug fixing performance;search-based techniques;test case summaries,,6,,,,,,14-22 May 2016,,IEEE,IEEE Conferences
"On the ""Naturalness"" of Buggy Code",B. Ray; V. Hellendoorn; S. Godhane; Z. Tu; A. Bacchelli; P. Devanbu,,2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,428,439,"Real software, the kind working programmers produce by the kLOC to solve real-world problems, tends to be “natural”, like speech or natural language; it tends to be highly repetitive and predictable. Researchers have captured this naturalness of software through statistical models and used them to good effect in suggestion engines, porting tools, coding standards checkers, and idiom miners. This suggests that code that appears improbable, or surprising, to a good statistical language model is “unnatural” in some sense, and thus possibly suspicious. In this paper, we investigate this hypothesis. We consider a large corpus of bug fix commits (ca. 7,139), from 10 different Java projects, and focus on its language statistics, evaluating the naturalness of buggy code and the corresponding fixes. We find that code with bugs tends to be more entropic (i.e. unnatural), becoming less so as bugs are fixed. Ordering files for inspection by their average entropy yields cost-effectiveness scores comparable to popular defect prediction methods. At a finer granularity, focusing on highly entropic lines is similar in cost-effectiveness to some well-known static bug finders (PMD, FindBugs) and or- dering warnings from these bug finders using an entropy measure improves the cost-effectiveness of inspecting code implicated in warnings. This suggests that entropy may be a valid, simple way to complement the effectiveness of PMD or FindBugs, and that search-based bug-fixing methods may benefit from using entropy both for fault-localization and searching for fixes.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884848,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886923,,Biological system modeling;Computer bugs;Entropy;Inspection;Predictive models;Software;Standards,program debugging,FindBugs;Java projects;PMD;bug finders;bug fix commits;buggy code naturalness;cost-effectiveness score;entropy measure;language statistics;software naturalness;statistical language model,,4,,,,,,14-22 May 2016,,IEEE,IEEE Conferences
The impact of fault models on software robustness evaluations,S. Winter; C. Sarbu; N. Suri; B. Murphy,"Technischen Universit&#x0E4;t Darmstadt, Darmstadt, Germany",2011 33rd International Conference on Software Engineering (ICSE),20111010,2011,,,51,60,"Following the design and in-lab testing of software, the evaluation of its resilience to actual operational perturbations in the field is a key validation need. Software-implemented fault injection (SWIFI) is a widely used approach for evaluating the robustness of software components. Recent research [24, 18] indicates that the selection of the applied fault model has considerable influence on the results of SWIFI-based evaluations, thereby raising the question how to select appropriate fault models (i.e. that provide justified robustness evidence). This paper proposes several metrics for comparatively evaluating fault models's abilities to reveal robustness vulnerabilities. It demonstrates their application in the context of OS device drivers by investigating the influence (and relative utility) of four commonly used fault models, i.e. bit flips (in function parameters and in binaries), data type dependent parameter corruptions, and parameter fuzzing. We assess the efficiency of these models at detecting robustness vulnerabilities during the SWIFI evaluation of a real embedded operating system kernel and discuss application guidelines for our metrics alongside.",0270-5257;02705257,Electronic:978-1-4503-0445-0; POD:978-1-4503-0445-0,10.1145/1985793.1985801,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032444,fault injection;fault models;robustness testing,Complexity theory;Context;Measurement;Robustness;Servers;Software;Transient analysis,operating system kernels;program testing;software fault tolerance;software metrics,OS device driver;SWIFI;bit flips;data type dependent parameter corruption;embedded operating system kernel;fault model;parameter fuzzing;software robustness evaluation;software-implemented fault injection,,7,,32,,,,21-28 May 2011,,IEEE,IEEE Conferences
"Efficient fuzz testing leveraging input, code, and execution",N. Havrikov,"Saarland Univ., Saarbrucken, Germany",2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),20170824,2017,,,417,420,"Any kind of smart testing technique must be very efficient to be competitive with random fuzz testing. State-of the-art test generators are largely inferior to random testing in real world applications. This work proposes to gather and evaluate lightweight analyses that can enable the creation of an efficient and sufficiently effective analysis-assisted fuzz tester. The analyses shall leverage information sources apart from the program under test itself, such as e.g. descriptions of the targeted input format in the form of extended context-free grammars, or hardware counters. As the main contributions, an efficient framework for building fuzzers around given analyses will be created, and with its help analyses will be identified and categorized according to their performance.",,Electronic:978-1-5386-1589-8; POD:978-1-5386-1590-4,10.1109/ICSE-C.2017.26,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965373,efficient fuzz testing;fuzz testing;fuzzing;grammar-based testing;software engineering;test input generation,Analytical models;Data models;Generators;Grammar;Measurement;Production;Testing,context-free grammars;program diagnostics;program testing,analysis-assisted fuzz tester;code;execution;extended context-free grammars;hardware counters;input;lightweight analysis;random fuzz testing;smart testing technique;test generators,,,,,,,,20-28 May 2017,,IEEE,IEEE Conferences
